date,position,cash,mkt_val,NAV
2024-05-14,100,47670.00000000001,52329.99999999999,100000.0
2024-05-15,100,47670.00000000001,52978.0,100648.0
2024-05-16,100,47670.00000000001,52869.00000000001,100539.00000000001
2024-05-17,100,47670.00000000001,52945.00000000001,100615.00000000001
2024-05-20,100,47670.00000000001,53005.99999999999,100676.0
2024-05-21,100,47670.00000000001,53136.0,100806.0
2024-05-22,100,47670.00000000001,52983.00000000001,100653.00000000001
2024-05-23,100,47670.00000000001,52596.0,100266.0
2024-05-24,100,47670.00000000001,52944.00000000001,100614.00000000001
2024-05-28,100,47670.00000000001,52980.99999999999,100651.0
2024-05-29,0,100280.0,0.0,100280.0
2024-05-30,0,100280.0,0.0,100280.0
2024-05-31,0,100280.0,0.0,100280.0
2024-06-03,0,100280.0,0.0,100280.0
2024-06-04,0,100280.0,0.0,100280.0
2024-06-05,100,46813.00000000001,53466.99999999999,100280.0
2024-06-06,100,46813.00000000001,53466.0,100279.0
2024-06-07,100,46813.00000000001,53401.0,100214.0
2024-06-10,100,46813.00000000001,53566.0,100379.0
2024-06-11,100,46813.00000000001,53695.00000000001,100508.00000000001
2024-06-12,100,47078.57142857142,54136.0,101214.57142857142
2024-06-13,100,47078.57142857142,54245.00000000001,101323.57142857142
2024-06-14,100,47078.57142857142,54278.0,101356.57142857142
2024-06-17,100,47078.57142857142,54710.0,101788.57142857142
2024-06-18,100,47078.57142857142,54849.0,101927.57142857142
2024-06-20,100,47078.57142857142,54700.0,101778.57142857142
2024-06-21,100,47078.57142857142,54451.0,101529.57142857142
2024-06-24,100,47078.57142857142,54274.0,101352.57142857142
2024-06-25,100,47078.57142857142,54483.00000000001,101561.57142857142
2024-06-26,100,47078.57142857142,54551.0,101629.57142857142
2024-06-27,0,101715.57142857142,0.0,101715.57142857142
2024-06-28,0,101715.57142857142,0.0,101715.57142857142
2024-07-01,0,101715.57142857142,0.0,101715.57142857142
2024-07-02,0,101715.57142857142,0.0,101715.57142857142
2024-07-03,100,46569.57142857142,55146.0,101715.57142857142
2024-07-05,100,46569.57142857142,55464.0,102033.57142857142
2024-07-08,100,46569.57142857142,55528.0,102097.57142857142
2024-07-09,100,46569.57142857142,55582.00000000001,102151.57142857142
2024-07-10,100,46387.99999999999,56132.00000000001,102520.0
2024-07-11,0,102130.42857142858,0.0,102130.42857142858
2024-07-12,0,102130.42857142858,0.0,102130.42857142858
2024-07-15,0,102130.42857142858,0.0,102130.42857142858
2024-07-16,100,45644.42857142858,56486.0,102130.42857142858
2024-07-17,0,101694.21428571429,0.0,101694.21428571429
2024-07-18,0,101694.21428571429,0.0,101694.21428571429
2024-07-19,0,101694.21428571429,0.0,101694.21428571429
2024-07-22,0,101694.21428571429,0.0,101694.21428571429
2024-07-23,0,101694.21428571429,0.0,101694.21428571429
2024-07-24,0,101694.21428571429,0.0,101694.21428571429
2024-07-25,0,101694.21428571429,0.0,101694.21428571429
2024-07-26,0,101694.21428571429,0.0,101694.21428571429
2024-07-29,0,101694.21428571429,0.0,101694.21428571429
2024-07-30,0,101694.21428571429,0.0,101694.21428571429
2024-07-31,0,101694.21428571429,0.0,101694.21428571429
2024-08-01,0,101694.21428571429,0.0,101694.21428571429
2024-08-02,0,101694.21428571429,0.0,101694.21428571429
2024-08-05,0,101694.21428571429,0.0,101694.21428571429
2024-08-06,0,101694.21428571429,0.0,101694.21428571429
2024-08-07,0,101694.21428571429,0.0,101694.21428571429
2024-08-08,0,101694.21428571429,0.0,101694.21428571429
2024-08-09,0,101694.21428571429,0.0,101694.21428571429
2024-08-12,0,101694.21428571429,0.0,101694.21428571429
2024-08-13,0,101694.21428571429,0.0,101694.21428571429
2024-08-14,0,101694.21428571429,0.0,101694.21428571429
2024-08-15,0,101694.21428571429,0.0,101694.21428571429
2024-08-16,0,101694.21428571429,0.0,101694.21428571429
2024-08-19,100,45733.21428571429,55961.0,101694.21428571429
2024-08-20,100,45733.21428571429,55870.00000000001,101603.21428571429
2024-08-21,100,45733.21428571429,56062.0,101795.21428571429
2024-08-22,100,45733.21428571429,55622.0,101355.21428571429
2024-08-23,100,45733.21428571429,56213.0,101946.21428571429
2024-08-26,100,45733.21428571429,56079.0,101812.21428571429
2024-08-27,100,45733.21428571429,56155.99999999999,101889.21428571429
2024-08-28,100,45733.21428571429,55829.99999999999,101563.21428571429
2024-08-29,100,45733.21428571429,55835.0,101568.21428571429
2024-08-30,100,45733.21428571429,56367.99999999999,102101.21428571429
2024-09-03,0,100941.21428571429,0.0,100941.21428571429
2024-09-04,0,100941.21428571429,0.0,100941.21428571429
2024-09-05,0,100941.21428571429,0.0,100941.21428571429
2024-09-06,0,100941.21428571429,0.0,100941.21428571429
2024-09-09,0,100941.21428571429,0.0,100941.21428571429
2024-09-10,0,100941.21428571429,0.0,100941.21428571429
2024-09-11,0,100941.21428571429,0.0,100941.21428571429
2024-09-12,0,100941.21428571429,0.0,100941.21428571429
2024-09-13,0,100941.21428571429,0.0,100941.21428571429
2024-09-16,0,100941.21428571429,0.0,100941.21428571429
2024-09-17,0,100941.21428571429,0.0,100941.21428571429
2024-09-18,0,100941.21428571429,0.0,100941.21428571429
2024-09-19,100,43843.21428571429,57098.0,100941.21428571429
2024-09-20,100,43843.21428571429,56825.0,100668.21428571429
2024-09-23,100,43843.21428571429,56966.99999999999,100810.21428571429
2024-09-24,100,43843.21428571429,57129.99999999999,100973.21428571429
2024-09-25,100,43843.21428571429,57004.0,100847.21428571429
2024-09-26,100,43843.21428571429,57229.99999999999,101073.21428571429
2024-09-27,100,43843.21428571429,57147.0,100990.21428571429
2024-09-30,100,43843.21428571429,57376.0,101219.21428571429
2024-10-01,100,43843.21428571429,56862.0,100705.21428571429
2024-10-02,100,43843.21428571429,56886.0,100729.21428571429
2024-10-03,0,100625.21428571429,0.0,100625.21428571429
2024-10-04,0,100625.21428571429,0.0,100625.21428571429
2024-10-07,0,100625.21428571429,0.0,100625.21428571429
2024-10-08,0,100625.21428571429,0.0,100625.21428571429
2024-10-09,100,42911.21428571429,57714.0,100625.21428571429
2024-10-10,100,42911.21428571429,57613.0,100524.21428571429
2024-10-11,100,42911.21428571429,57958.00000000001,100869.21428571429
2024-10-14,100,42911.21428571429,58432.00000000001,101343.21428571429
2024-10-15,100,42911.21428571429,57978.0,100889.21428571429
2024-10-16,100,42911.21428571429,58229.99999999999,101141.21428571429
