entry_date,exit_date,direction,size,entry_price,exit_price,outcome
2024-05-14,2024-05-29,Long,100,523.3,526.1,Timeout
2024-06-05,2024-06-12,Long,100,534.67,544.02,Target Hit
2024-06-12,2024-06-27,Long,100,541.36,546.37,Timeout
2024-07-03,2024-07-10,Long,100,551.46,559.5,Target Hit
2024-07-10,2024-07-11,Long,100,561.32,557.42,Stop Loss
2024-07-16,2024-07-17,Long,100,564.86,560.5,Stop Loss
2024-08-19,2024-09-03,Long,100,559.61,552.08,Timeout
2024-09-19,2024-10-03,Long,100,570.98,567.82,Timeout
2024-10-09,2024-10-23,Long,100,577.14,577.99,Timeout
2024-11-06,2024-11-15,Long,100,591.04,584.78,Stop Loss
2024-11-29,2024-12-13,Long,100,602.55,604.21,Timeout
2025-01-22,2025-01-27,Long,100,606.44,598.87,Stop Loss
2025-02-18,2025-02-21,Long,100,611.49,605.71,Stop Loss
